,B001E4KFG0,B00813GRG4,B000LQOCH0,B000UA0QIQ,B006K2ZZ7K,B000E7L2R4,B00171APVA,B0001PB9FE,B0009XLVG0,B001GVISJM,B00144C10S,B0001PB9FY,B003F6UO7K,B001EO5QW8,B000G6RPMY,B002GWHC0G,B004N5KULM,B001EO5TPM,B005DUM9UQ,B000E7VI7S,B001GVISJC,B006SQBRMA,B0059WXJKM,B001EPPI84,B004X2KR36,B005R8JE8O,B0066DMI6Y,B003ZFRKGO,B0019CW0HE,B004K2IHUO,B001REEG6C,B000J0HIT2,B0037LW78C,B0026Y3YBK,B003SE19UK,B003OB0IB8,B002SRYRE8,B001GVISJW,B0017I8UME,B0064KU9HO,B0037ZFEW4,B00374XSVY,B005P0HHGK,B002HQAXUW,B000SV90J8,B0036VM05I,B000ITVLE2,B003TQQKFQ,B007B9J6G2,B0064KO0BU,B001IUKD76,B0081XN2HQ,B0025VRCJY,B005CJVVJ8,B001KUUNP6,B000NY8ODS,B00029XIZI,B004V6AH34,B0028C44Z0,B0009XLVGA,B002TDK0VK,B0040WAG7Q,B001EO5ZMO,B001SATU8E,B007JFV6RK,B001L4ELRW,B003SO503C,B003ZFXJDW,B001HTL6CY,B000WFRMRW,B001EO5ZME,B0093NIWVO,B001EO5ZMY,B007TFONH0,B000GGKQSO,B007J32WX4,B0017129DC,B0002567IW,B0048IC328,B0025WIAN0,B00821UN4M,B00473RWXY,B002MV23XM,B000LKZK7C,B001D07IPG,B000H13270,B001UJEN6C,B003EMU7EU,B0064KOUNI,B003YDP5PA,B002X9JNYU,B001EPQ0J0,B000O9Y62A,B00283TPYE,B001FB69YY,B004OYBN7C,B000JEHAHS,B003VTN95K,B007DJ0O9I,B00469VSJI,B002SRAU80,B0067LDV66,B000HKYP9A,B00067AD4U,B0029OWDAU,B000SEJ84M,B001LMNXFA,B002J2DO8W,B000U9V5AU,B001SB099M,B0041QJSJS,B00437JI8Q,B002O3VHXU,B0057FTBYO,B0087HW5E2,B003YXWAF8,B000UXA3L8,B004AVYUOW,B001ESOQAM,B001ESOQA2,B003XT4AV0,B001FA1MCO,B001ELL6O8,B006CGURWM,B00250I0EG,B000C21OOM,B003D4O92K,B001IZM8A6,B0089PI9OC,B00061KYVI,B003XV5LHK,B005WU7V00,B005CFC9XY,B000SEJ842,B004X8TK8I,B000G6RYNE
A3SGXH7AUHU8GW,4.99556749400262,2.510882682703474,4.277789865967877,3.246518665509402,4.581442511085537,5.266436942182333,4.607452573224411,5.020189719187123,5.3836724010334915,4.75819101721701,4.360896850749478,4.580026523496308,5.118478836207633,3.905350332411066,4.901073826282092,4.827321053310663,4.915985087874674,2.9675661000409295,4.378268985675423,4.595431086989865,4.96745195856667,4.836247064458632,3.4704808027907763,3.8179165437845732,4.241568019804089,4.857854426982656,4.808679060098547,5.142877043655634,5.3711240303163486,4.61137929058144,5.12502144552923,3.6405845095257425,4.780521422970019,4.99928366434248,5.087163442552888,3.6004544439185295,4.868799660032702,4.207456334265427,4.085653224565187,3.5868739533620047,5.241189820759186,4.907811795422415,4.124496235493003,3.3147231084937,5.058006147962495,4.868098155287722,4.657649127599171,5.237874177623991,3.4897019194528376,4.046390230430414,4.392474544617951,4.908956204736798,4.6577262345817285,3.9471999719863495,4.161265305875625,4.972170691774636,5.126131471595391,4.501587081536165,3.605518584624266,3.8057542575600327,3.162833050796593,4.149672657162085,4.688225214863605,4.411448405237884,5.0611491701801175,3.5960205030031394,4.9391252146891835,4.858782764676911,3.9844627646085047,4.555580164278074,4.238767590766683,4.656545918149622,4.650493124461716,4.812526729215181,4.777477470136573,4.639627479764809,3.7539773481811785,3.7946410187303403,3.2845816367257696,4.760150480283975,3.0919025310706565,4.922799995397179,4.587016349788198,3.855693021429783,3.6412595743563125,4.367415073063662,4.15155064855229,4.3150286184116275,4.613193309926595,5.205837356596699,2.7333116183526345,4.897489238613149,4.933007032910822,5.10065553423601,4.862865201714336,4.688702084844374,4.488693294623233,5.404292875266618,3.060806004914824,3.7827298141563293,4.482124719343241,4.7504355864798855,3.778386636203626,5.0238602113595245,4.905107249730431,4.53007894508378,4.264791296481591,4.30825093725286,4.404656395813132,5.352764869164002,3.7273072257306605,5.133787107363088,4.428867360935398,4.993706107885368,4.8273972739096465,3.8169265314069256,4.682654008866239,4.751066665898295,4.640457988035789,4.851113569370741,4.76509251259946,3.791136106811343,3.877908732380986,3.1378944619987825,4.565875018888846,4.866446893030692,4.770532869513619,4.917151140822505,4.5064328261154545,4.833972398302438,4.1739853101493996,5.0590428259120515,4.936300749280849,3.2534746974698137,4.768475468521121,4.22267910846702
A1D87F6ZCVE5NK,3.1329399491744763,1.02030786992421,2.5403501505159083,1.614074424601178,2.9975254888683995,3.340491490117743,3.063593145765311,3.1867205934785505,3.1044355602835556,2.8016474647296197,2.860502300327114,2.98419032457398,3.3127290361839896,2.294977136759394,2.9090618864533173,2.8383617230688696,2.9031505808855242,1.2665405540951165,2.7291902373931833,2.47982565278504,3.3206947465413297,3.0392608460464374,1.431103143390612,1.7233217301489319,2.9799213841878265,3.1473588720919787,3.0924872990828725,3.2094031721354606,3.265906325405326,2.757696419069191,3.157260145163956,2.0102634174245253,3.395733949561467,3.3063085824771683,3.423493226055114,2.2791067074412235,3.288526497654524,2.348523243334432,2.8280168407045414,2.057211162149581,3.2562016655529673,3.246811728082644,2.861457441216298,1.4364698639350162,3.333640183062415,3.5371972764105952,2.4651585272126586,3.288034780920155,1.5156126518125075,1.9590864112421702,2.8569326044128918,3.440217106761572,2.843950673614392,2.2818716466430664,2.952712164264809,3.245419245690235,3.4818429714944736,3.0054799302870876,2.342482806277662,1.8629977535070998,2.1186349286603585,2.342770934196661,3.1634110953885726,2.6973810133861593,3.387630470280168,1.50662031304331,3.0223182093716643,2.8750679292353123,2.0245019627940533,2.9281643655858165,2.93044855864207,2.956720091867757,2.7545058989430564,2.897493999416013,3.173961009964685,3.065969286004008,2.015852386419243,2.3927617387602442,1.584743514808028,3.2136864922990775,1.1014790945367414,3.009323492055824,2.94492345908291,2.6128593176813952,2.261838169653851,2.607634573131295,2.8296340396604687,2.813940538683547,2.85714880928648,3.0548143186089636,1.518583444199154,3.313788833187926,3.152114992757683,3.2553420801029413,3.126496048837522,3.2174729965283895,2.2258746462647423,3.4911330741162976,1.9991202919489057,1.572177627170427,2.692162735206803,2.9323702899708652,2.2875098642648974,3.4173125877991963,3.199491997166894,2.958235044586361,2.7230092808349005,2.83166571206206,3.003140383997217,3.4637692052191693,1.8322689253955828,3.4761409628491413,2.6854186868720915,3.3849805694132487,3.2658494826592936,2.376228157576162,3.202178181708414,3.1173024032953927,3.0768483385176366,2.9172516792135754,2.550354145411058,1.799915642806611,1.8421845551347467,1.5813029415796338,2.914155813022321,3.0860557808750766,2.995512588006757,3.070438758101421,2.9679147474778347,2.9749101994118368,2.822922905174991,3.2100814391723773,3.219080537122177,1.487092614877504,3.1051978911815215,2.918142396643903
ABXLMWJIXXAIN,4.080371769967375,2.9071353310177726,4.003315690302763,3.450006164862052,4.5454090797604625,4.105511431324214,4.757232455726165,4.259258886691841,3.4666534993429132,4.665117986357839,4.085827874476614,4.335423619566315,4.406159940445546,4.196757992695798,3.9068964488637876,3.7523735658417374,4.107202603615197,3.0870338720739556,4.68932301867523,3.5577544395075993,4.604948248942093,4.007483562901277,3.2451034644719527,2.4421060857444807,4.717889047697268,4.404333968160623,4.238345734138873,4.153131724723039,4.083755052338805,4.142715604082392,4.342090934954646,4.34571537315661,4.926631919470183,4.466925766397492,4.753174273388053,4.369761295601574,4.729132114707273,3.944572710674557,4.223239882320562,3.635979793685259,4.203273396730966,4.615787596859284,4.494367912170128,3.109470776455513,4.245504878971569,4.843742945565362,3.319571885902259,4.309690973364562,3.1223295176447685,2.655921001864107,4.767318407724348,4.625347719223465,4.330360861464027,3.943432992106888,4.892585673584282,4.485990793058594,4.493972861995151,4.14232113330029,4.742794487743335,3.6452788753639647,3.9610871570193167,3.4207024538691053,4.037816259972957,3.922417019744672,4.557309884988905,2.5795495725566915,4.5853596182812115,3.240332119684197,3.308997091008418,4.272028381731224,4.737979832261024,4.4657529040644715,3.6345754441576346,4.346895403670821,4.547361707770069,4.474623736851153,3.908400243327475,3.2071002463086082,3.641779556343089,4.438100981249944,2.2428784327700297,4.226353485774501,4.523792507985405,4.2461184516211405,4.52103823415839,3.4583482443095996,4.574446709842697,4.1638190113365585,4.438574460514085,3.521763865990313,3.8850035792635054,4.591131210943135,4.0636532499625595,4.133752182166558,4.458421958749788,4.498024415302211,2.7501894999890943,4.45926234641973,4.092852439098041,2.666880148047249,4.266631082011707,4.2878781535463375,3.9899729572415197,4.6657499332532915,4.3465603883502055,4.510050143468861,4.579647522315565,4.534980506592732,4.6156290472233685,3.767360447052464,3.9226870086208936,4.653766124366025,4.386780640954321,4.363189406501068,4.210150358967922,4.125513314253632,4.7580878207747,4.536872068116802,4.5801657311517925,3.9001230502546154,3.2275770027884123,3.1674366724119736,3.5542973742480157,3.6491453254083552,4.499493743464084,4.542735192730215,4.507633618196825,4.444952971959011,4.479321226712729,4.423630378535933,4.286956246113309,4.2669496375854745,4.333436367531666,3.38221358071745,4.515428993888583,4.644606789442915
A395BORC6FGVXV,3.898709793855596,1.436787579599279,3.089675572165949,2.011333378419919,3.552850482728049,4.176884361101011,3.5591848469335985,3.8995822865425005,4.02987497338065,3.0836744795263873,3.601976153595807,3.6333084619874723,4.023916397436284,2.666495397016281,3.609284890779789,3.581113284322862,3.4945742086783187,1.6499625200056771,3.059638392285437,3.1015912261655387,3.987072635169547,3.815291718975121,1.7117043338975206,2.529789708627917,3.5419751258326784,3.8072896145715327,3.805741106050513,3.954806114948915,4.019914095593026,3.3092482212642507,3.7723426710330408,2.1604508526359822,4.021890995960798,4.019518996642379,4.062040728717602,2.6475348833986914,3.8981979760456613,2.7937691904422306,3.561311519183219,2.6142222322493094,3.983801766616106,3.866707810135129,3.4751779621058416,1.8374967441874377,4.1603812948909065,4.291510074045609,3.1736803851539954,3.9896605063617616,1.9194776752275051,2.7787253983412343,3.2476356734472804,4.211546592887262,3.35772475301729,2.755303542528875,3.4312704779603806,3.908390659252094,4.283954200148638,3.7921812735951477,2.5756118394138108,2.1896115492074406,2.6970188560081376,3.061284193753885,4.071270639860051,3.3720325104643454,4.1024441853629385,2.139078234428971,3.465796566367639,3.8916143942377253,2.592600694714627,3.5710401155487936,3.443374920365865,3.4949868126945183,3.543228982622947,3.397888152899926,3.809678203474466,3.6935600960449695,2.3519118093163973,3.3689396221316583,1.8512243215005628,3.9411738425267404,1.7309990288365615,3.625449914741126,3.466648661127009,3.2327392796116756,2.528475728079319,3.453604455704534,3.3694041388724796,3.4934250589759843,3.341893151204336,3.968494862581302,1.7836607874025043,4.003356560726562,3.961302492031376,4.060769537284693,3.7411460600312867,3.940698184862019,3.076067666783352,4.230801001362797,2.447401323685248,2.1558675597218793,3.1697276684708795,3.5097209222637895,2.7953303996137517,4.114055344408181,3.915460448940596,3.515393975198771,3.1384127734434277,3.343542877108654,3.583589752731914,4.54058773998176,2.021017360124886,4.191988512467915,3.1146282352699792,4.215060517542786,4.127531779635248,2.876553423505514,3.7859415646700323,3.7206423209781696,3.6606403429611807,3.643120144610616,3.3397810432053485,2.3170407906727637,2.174461842709149,1.887318433029694,3.4296558472689105,3.6250376576653496,3.508681449361082,3.6293850785456248,3.5555587753574383,3.4931836061360007,3.492811025415732,3.9258593719505175,3.9476357318468756,1.813020004537538,3.7039196693644043,3.4724592521497337
A1UQRSCLF8GW1T,4.380365430009569,3.477878044100982,4.548769583539934,4.1553460810543,4.968305379903924,4.341982678060784,5.243807906234695,4.620317168463239,3.824655224922218,5.789243040153099,4.156654383087694,4.620743053739445,4.7493930468157535,4.925993106885059,4.404574159518358,4.18143430762666,4.790015661772182,3.8645328420501883,5.511186767380397,4.268993560225913,4.900878707404452,4.243066190751452,4.43252869399854,2.8496237981892945,4.89266898393903,4.7573207531701565,4.512321285808267,4.537144475593341,4.580969883777069,4.770403499969543,4.954750722414983,5.435047330187369,5.092172115561226,4.7238509336384364,5.1050045965920585,4.890714545293662,5.064533516337356,4.742023001580561,4.127839856280637,4.016242278764405,4.653050114812669,4.994754889360628,4.589547808014315,3.990170462983794,4.3484093969916975,4.7695632489035695,3.9521158869640063,4.774085105718833,4.069261977919973,3.0375094398573963,5.4114409349136965,4.626244058442025,4.987576837331286,4.554150361456054,5.158514184020036,4.8462183595274855,4.576269910831415,4.139408528129063,5.431888833561614,4.6896603759764925,3.950054754873734,3.7533527602453973,3.8670013116184734,4.255065509111552,4.797387525095467,3.2547815562465816,5.428239788865799,3.2382664175115052,3.989224084372078,4.59037336132222,5.0238359629722495,5.000730569980626,3.923347081542698,5.09964971984068,4.859256246434595,4.777184507024139,4.787163021997978,2.8390316772226147,4.600890818615696,4.564721435192524,2.849717729868763,4.797359048424467,5.042015780941048,4.31678888281938,5.243655541228378,3.557357891377527,4.828438682357206,4.331891822055681,5.098525411360055,3.8035809433488836,4.488624164448613,4.804380719582854,4.23562809992837,4.359093748309644,4.901146856153587,4.5758238907098825,3.2135084985546705,4.8372466935612835,4.297740789169685,3.5075427196508726,4.962793575024543,4.84904521137429,4.418400074416711,4.8846484287619205,4.608501449779498,4.9211828253116385,5.189825727537091,4.946539784782774,4.864830783192123,3.6014013533772244,5.147025190151281,4.880527318629938,5.1241070280990115,4.375619751534613,4.138479884221948,4.528639383639554,5.060336580028329,4.92159393711637,4.9436659754369465,4.314905634361059,3.7502716135593572,3.9502567772428296,4.658387775842154,4.440943887197763,5.0345291159259595,5.1359991691959195,5.137219037647525,5.055962177042822,4.818309858750067,5.107215810757746,4.359387546580272,4.634879838112259,4.584292253175293,4.297622007487187,4.929118242498876,4.86308388016344
ADT0SRK1MGOEU,3.386066259177309,2.5624377808230725,3.551748379217877,3.1647571479498096,4.048228210897567,3.3375692950271656,4.325676833885919,3.6246461923644278,2.6735966337023482,4.605882656818805,3.3325298310505227,3.722571150052384,3.7667991056726886,3.938597507051524,3.327537482573426,3.1184709877391,3.670603927450344,2.8362717694535733,4.492692375980394,3.108236209039455,3.9828792044268955,3.283941989154295,3.208188410516102,1.7537834773761882,4.132375695100609,3.806206076324398,3.5741889704485237,3.502132781867562,3.464412065953529,3.717124490052574,3.864405857310434,4.372421427665308,4.290545083938553,3.7970733999930855,4.1704925405911935,4.043920940563129,4.162314596481266,3.6547311560533142,3.420158174114319,3.1232283790362523,3.587549848240969,4.056033677563301,3.8438543968798595,2.880340155991642,3.43984096036192,4.032225511557702,2.7793731130372876,3.718112315662586,2.9133467807242774,1.9491346183278533,4.4663593758098585,3.82644943425799,3.942664155701989,3.5699900754036893,4.3995216332473985,3.8880436288582056,3.6996251194103955,3.3307601904387427,4.573629067092178,3.5262380309075825,3.301061086110733,2.772361587893414,3.0801321924914857,3.3065559173076844,3.8806106572866197,2.1100176003783124,4.312088253855558,2.258851492811676,2.8888021563508888,3.674892777081144,4.226159959143786,4.018855468061916,2.9195028590770122,4.001200954057803,3.9533602380665656,3.8835044980430715,3.726728453875682,2.1325618872855845,3.5386233710954587,3.7139030395404684,1.7525469336114066,3.733902480788479,4.083516041869729,3.582810301781295,4.338320554825889,2.6371366930337956,4.032044469968995,3.4890930643928053,4.073293524511422,2.711821931349154,3.6634666955853854,3.9241146877850492,3.2941908744400252,3.3850016626579635,3.923970936155891,3.7605822444496653,2.0482330880988138,3.810485157466475,3.60170401435042,2.2890347921396694,3.9188311627775985,3.8208362254629957,3.5298279074966423,3.995317844428421,3.676350638026024,4.007559461133692,4.248994494263264,4.066165040903955,4.04149393885158,2.6861906286139288,3.9661906358369725,3.971827930987931,4.0886168860916,3.524660033515568,3.319966925101834,3.662419256522578,4.199318716120165,3.991311402351732,4.041951643799931,3.2739262273595013,2.590564978339321,2.8194526403326474,3.4511206303790907,3.4605076829905266,4.069474807718493,4.114888292588667,4.111103153494916,4.008283219839967,3.9300204649699584,4.041460136847946,3.587207741534652,3.632485902366007,3.6501820788253068,3.2203551054827093,3.9830191503399357,4.0795019169032045
A1SP2KVKFXXRU1,5.441088706460359,2.9704214953143113,4.799746164936616,3.8112169625083108,5.000332120399211,5.701467289971257,5.043894116091542,5.48532260883184,5.981310015104605,5.614837086675084,4.591114113311286,4.938575934440173,5.567001872695559,4.474519903007415,5.47731506239112,5.370764263455018,5.584500022695928,3.5863953594267195,5.002104358794467,5.30802950984447,5.346230006209474,5.232120487731489,4.381423871553368,4.383087150561578,4.4483556936223465,5.282291384715079,5.198117057413069,5.648720140329446,5.981161339997809,5.206466945476988,5.747400037090923,4.383055847385164,5.0200121110018205,5.373824552051162,5.496995045393044,3.986018026800666,5.245942520527457,4.8829965847350145,4.165704685548619,3.9696550325948055,5.7930650307158755,5.329449604291478,4.294718283843657,4.034747286280549,5.370416714174488,4.980020359130936,5.356783221004174,5.785980982872745,4.269291893701704,4.597323061492748,4.899616951484919,5.097171963984968,5.254543656415594,4.477814187931183,4.394451335695349,5.4048557334791365,5.404909178503536,4.696255484304048,4.05168507855058,4.621207635486559,3.217958881958249,4.593624778135678,4.8135072185088115,4.827508865955065,5.422016930422046,4.284016229827818,5.653160591433299,5.200339773889207,4.635890970634372,4.938961612287703,4.511185728100901,5.162334154926169,5.100822808996909,5.484154650036629,5.15068167317244,4.999524503105884,4.431001954609476,3.791340667148377,3.9874351046328904,5.030131740608077,3.7183853298992586,5.509516012308127,5.067675059688794,4.008457102993492,4.13796803617586,4.688655815818746,4.413249224284409,4.590636953587787,5.193936945315569,5.7295578556566715,3.12525181094027,5.2189073866540925,5.294491644974137,5.506290003979781,5.336769776807391,4.913396769232661,5.130330942175749,5.901231959674996,3.2215071436085085,4.583986603918271,5.089883059471947,5.303915420293369,4.171893299706159,5.3547671363796,5.2857761970187545,4.939875720102152,4.758037191671057,4.689626740679158,4.6880438865421095,5.5897164137832505,4.612036037890959,5.483699068105213,5.041777033050362,5.229337840798425,5.009780053366077,4.183602367817817,5.014410686684517,5.167195545803661,5.025649845099692,5.3713695633800915,5.419872270512203,4.499622807574036,4.749035019167063,3.7199743728970205,5.05723708553806,5.423520943631099,5.342869045852106,5.502395330527478,4.872697641805021,5.456647389670804,4.360083375025438,5.532022995701857,5.315305839649866,3.9560151243217683,5.206930087571161,4.462655156371344
A3JRGQVEQN31IQ,4.475314974748708,3.373263819626941,4.471384410522606,3.9647572000088647,4.968218760976307,4.482782630816294,5.198705956192254,4.672474358230894,3.896945798996745,5.326402640154477,4.393098749297776,4.714888925485632,4.812574512283106,4.718227448807696,4.370053832858489,4.193548452228354,4.630180593483813,3.627549248079184,5.241867921548057,4.093949464172952,4.989855795874857,4.379249715625237,3.9299074813272172,2.880695654011778,5.04860807595656,4.809998565795252,4.619070864003606,4.577709167631454,4.551349037142248,4.641688158186033,4.840895470834738,4.982706429805991,5.259393859998697,4.841279143296234,5.1565743588671245,4.813176123102247,5.123921530216722,4.497838029931787,4.467726945754159,4.043010956931025,4.6508868395429666,5.027724417837285,4.799785615582572,3.6900386799751805,4.572063955796045,5.09795674924975,3.833810810048353,4.760537712626569,3.7278774924965035,3.0859552045608183,5.2586439150297215,4.909059539132456,4.837124022805358,4.429372281566226,5.2501914227816915,4.894620294281884,4.81072455512017,4.425927779642137,5.237411760688865,4.280601832497211,4.223807911697473,3.823792372859989,4.269097719798609,4.321747205914181,4.925508398185785,3.103212891194531,5.1554407530635356,3.543953327164847,3.829010231456308,4.663293190840655,5.105973636119895,4.928961172008883,4.027294556230163,4.888193850574445,4.93560388002027,4.858683452496904,4.482676883155441,3.370565809116759,4.240101966331375,4.765011288178443,2.7407464318115866,4.70969032804253,4.979325643393989,4.542910157224558,5.0310475317042815,3.7851006018166635,4.9328403524702775,4.502097128669371,4.943871173926612,3.9225947084525905,4.350435872572357,4.9471462253026575,4.4145045582698605,4.504212824277441,4.8937215810085215,4.806335624209645,3.2133672545341128,4.881096777057612,4.425065873949291,3.248149501992012,4.784836910364481,4.764217303754711,4.4107770646890545,5.024489666494878,4.723023488223039,4.928623482131489,5.060412274982779,4.949832420135383,4.975719923637809,4.014935662704168,4.613405404165036,5.017079769226116,4.916216328955894,4.656244035224385,4.474503128881757,4.536225540618465,5.138274893972156,4.949539225934866,4.983231664970269,4.334518362724883,3.7077227609687107,3.7213980745441986,4.212405983985031,4.188367446994321,4.960772406295932,5.027773715688164,5.004025359142773,4.938330040594495,4.873562609618614,4.940627694585903,4.5886914215052235,4.682981584592422,4.7068380521003705,3.9693084200723057,4.938519199472463,4.990982906839289
A1MZYO9TZK0BBI,4.7948652269232035,2.784572283676818,4.126299723479729,3.169193389159413,4.793279993179385,4.997478230365637,4.845668374792565,4.8281654405304675,4.393417822388692,3.7993650850441636,4.974536827226433,4.868868718016365,4.988977218537704,3.850563752820266,4.326649616334956,4.307458777622257,4.171747503629113,2.715482536646391,4.187727172650429,3.6463261860859886,5.157270919938587,4.799482040161573,2.317641000666745,3.123785526143673,5.209545325783687,4.8924138375224535,4.8895259704122465,4.754866128725493,4.593759629636708,4.192343197578193,4.51189650574142,3.292407756654429,5.5339971664009955,5.134014126483757,5.206629220927201,4.213620363642238,5.149763821889676,3.657564482124161,5.254087003874146,3.926625190491943,4.71364032311837,5.012661400563996,5.146910516130309,2.6705931055598207,5.246540090091085,5.889800262996107,3.6267793412214466,4.762981864654462,2.6261142759952687,3.3838976822052387,4.532934077599865,5.6294564426266955,4.289226363706627,3.8785104188688684,5.159379608495069,4.972361943246708,5.47319202449611,5.175669963567335,4.203120126042983,2.9287236040570273,4.65416780148385,4.025672375849849,5.430860159635016,4.4541419363397825,5.242866126623519,2.7197248778743064,4.252820152353161,4.656715777989208,3.3370145163842375,4.764095625305639,5.043489203448039,4.580088435238143,4.3979174521583255,4.193873220938804,5.03352027857434,4.955959835633624,3.362845905169766,4.899109260870142,2.904725635526626,5.251160000173697,2.442248967860212,4.436943008412908,4.6262077884726445,4.931918640625841,4.005901628785427,4.495144929076728,4.954648528823576,4.8578644691581845,4.346398539041124,4.500296103887016,3.478791978327465,5.259672901391675,4.970638269821832,4.98443982710684,4.786777871706293,5.349723650681874,3.4525872028333513,5.057069754705697,4.366295294446334,2.5705646891123934,4.128526435408753,4.442935463595067,4.1533302666887595,5.34097897302937,5.013553337597631,4.772009159759139,4.41832607220592,4.720921657875296,5.06825266942343,5.438005298450283,2.8072386294777836,5.353529740635728,4.129344049638529,5.454597815508059,5.433156994665029,4.300067516927453,5.166526983709525,4.900704480932429,4.931244324417169,4.440396728438642,3.7728484625217513,3.014174959026331,2.7912372512781847,3.1349270862691845,4.575756086075199,4.603635758415469,4.491385364575067,4.522561215466334,4.859806158571512,4.365294557457673,5.054616896779092,4.83428539782139,5.031838134261876,2.785392929585819,4.844399498910897,5.082387445504305
A21BT40VZCCYT4,5.21584477370084,2.978351636760909,4.725701959789282,3.8423153353974815,4.9121003897614965,5.428319649955756,4.997038985789838,5.297130138433097,5.665174158047497,5.7513127552354,4.360672150800409,4.782128633703458,5.378275670866989,4.52314235316208,5.308512110296918,5.170491871385092,5.497032889666137,3.6320362013659295,5.083393906670022,5.204793121324994,5.180332437705729,4.995151012178983,4.524222508216953,4.142684657173346,4.334655261511401,5.1251934972996605,5.002168637111996,5.442964933044415,5.7800139564294994,5.138187223315361,5.639664372217934,4.595712899570779,4.867011711481876,5.176429728811893,5.3526405877165395,4.018509302867322,5.117512919074791,4.893227407894366,3.9258200670437136,3.876728760384635,5.603682004521922,5.198641189965325,4.143111275440244,4.078726563064408,5.091531379023037,4.729344320527258,5.1946427822230135,5.613461162730612,4.317286352757982,4.346770491549238,4.929366236461702,4.8427588247905105,5.211504202137012,4.454989639677503,4.338771879248344,5.246556855553625,5.139037504440464,4.4322806892110025,4.179960969032317,4.724016755720323,3.0784034435138716,4.399584533827622,4.4622618260783895,4.659812921448939,5.222204178059325,4.171248188495728,5.6683763826501465,4.798387466155119,4.562210013820352,4.78911571896906,4.436584916957227,5.094027354709095,4.860823464309744,5.457402169779397,5.004578327470327,4.857496002561516,4.513835018440829,3.382026835433257,4.118997671277091,4.812908764112287,3.601475545638567,5.397556111768612,5.007856599773175,3.851033952833941,4.249012911806872,4.39788484673362,4.319773623633617,4.405825473319089,5.168569659163968,5.413905383750496,3.2269572716247517,5.031941128467129,5.032114334306947,5.250779799840089,5.2146183683646585,4.694517588293666,4.8684850908951205,5.698400733225018,3.178741561063646,4.5147963523693395,5.071955120448141,5.214395566035736,4.112671558480747,5.1639792234006885,5.087157999356483,4.849526579502937,4.770019372082612,4.6265117864105845,4.569721629671858,5.137409433217611,4.81319149658491,5.282115365224735,5.056447431902153,4.940633797651353,4.694831939998031,4.126697479966519,4.898679075007398,5.046828135656793,4.915190701239503,5.18000451811402,5.199651710593734,4.465417751155065,4.853598947971296,3.81334236135663,5.002609502507778,5.3598181901664645,5.297806934483141,5.428233911881378,4.757808062665301,5.413182786180014,4.172776159269934,5.342672416478021,5.108170421404098,4.048098443702868,5.0918380595527815,4.357375361196435
