,B001E4KFG0,B00813GRG4,B000LQOCH0,B000UA0QIQ,B006K2ZZ7K,B000E7L2R4,B00171APVA,B0001PB9FE,B0009XLVG0,B001GVISJM,B00144C10S,B0001PB9FY,B003F6UO7K,B001EO5QW8,B000G6RPMY,B002GWHC0G,B004N5KULM,B001EO5TPM,B005DUM9UQ,B000E7VI7S,B001GVISJC,B006SQBRMA,B0059WXJKM,B001EPPI84,B004X2KR36,B005R8JE8O,B0066DMI6Y,B003ZFRKGO,B0019CW0HE,B004K2IHUO,B001REEG6C,B000J0HIT2,B0037LW78C,B0026Y3YBK,B003SE19UK,B003OB0IB8,B002SRYRE8,B001GVISJW,B0017I8UME,B0064KU9HO,B0037ZFEW4,B00374XSVY,B005P0HHGK,B002HQAXUW,B000SV90J8,B0036VM05I,B000ITVLE2,B003TQQKFQ,B007B9J6G2,B0064KO0BU,B001IUKD76,B0081XN2HQ,B0025VRCJY,B005CJVVJ8,B001KUUNP6,B000NY8ODS,B00029XIZI,B004V6AH34,B0028C44Z0,B0009XLVGA,B002TDK0VK,B0040WAG7Q,B001EO5ZMO,B001SATU8E,B007JFV6RK,B001L4ELRW,B003SO503C,B003ZFXJDW,B001HTL6CY,B000WFRMRW,B001EO5ZME,B0093NIWVO,B001EO5ZMY,B007TFONH0,B000GGKQSO,B007J32WX4,B0017129DC,B0002567IW,B0048IC328,B0025WIAN0,B00821UN4M,B00473RWXY,B002MV23XM,B000LKZK7C,B001D07IPG,B000H13270,B001UJEN6C,B003EMU7EU,B0064KOUNI,B003YDP5PA,B002X9JNYU,B001EPQ0J0,B000O9Y62A,B00283TPYE,B001FB69YY,B004OYBN7C,B000JEHAHS,B003VTN95K,B007DJ0O9I,B00469VSJI,B002SRAU80,B0067LDV66,B000HKYP9A,B00067AD4U,B0029OWDAU,B000SEJ84M,B001LMNXFA,B002J2DO8W,B000U9V5AU,B001SB099M,B0041QJSJS,B00437JI8Q,B002O3VHXU,B0057FTBYO,B0087HW5E2,B003YXWAF8,B000UXA3L8,B004AVYUOW,B001ESOQAM,B001ESOQA2,B003XT4AV0,B001FA1MCO,B001ELL6O8,B006CGURWM,B00250I0EG,B000C21OOM,B003D4O92K,B001IZM8A6,B0089PI9OC,B00061KYVI,B003XV5LHK,B005WU7V00,B005CFC9XY,B000SEJ842,B004X8TK8I,B000G6RYNE
A3SGXH7AUHU8GW,4.927397553067404,3.4213617212436143,4.478208738508764,3.689831913477742,4.930601528442099,4.788840944237269,4.798612081984749,4.811764894345978,3.724952009490974,4.637951616937568,4.9284199039658,4.762900281889045,5.01810411800994,4.4514638429233395,4.339570715469368,4.691262233957229,4.937430548836782,3.547090092901594,4.5048265760596395,4.36926701777164,4.948046160081316,4.859588001819427,3.2718139272081044,2.8809109685411793,4.572419413577339,4.910971293003909,4.709311861637748,4.848047922140693,4.764582440454383,4.7155755123229355,5.097466523776706,3.7723961177496523,5.1164118534856495,4.965756946618015,5.254487307099378,4.59081713356098,5.145505797264416,4.411100885015409,4.434280446596039,4.098949652799537,4.9107524275191015,5.010359889792881,4.387557873407754,3.2344209892066678,5.004159341164327,4.966530318229465,4.281101254861148,4.945476406425736,3.301368550690244,3.6718536838643114,5.062981546237021,4.820260043085072,4.8002041296116795,4.325560086202218,5.060372089813472,4.947096232602413,4.854595009100198,4.671962133569549,4.466671821789999,4.137532000054454,3.9538003124719143,4.072648337385355,4.782339659497984,4.4326243572053405,5.034423325504534,3.439598006023755,5.0751809713784795,4.227717267431903,3.635553801366358,4.669119386448929,4.7067715616445485,4.8936263283523695,4.228818333225242,5.103222077518504,4.822590471092371,4.806610908736111,4.027936369937112,3.5434888096391863,3.2607829181788652,4.889687639255073,3.029729433249894,4.898301275551893,5.023365842460757,4.599541254717359,4.542849571112698,4.32082955166603,4.646013347645608,4.48721709026116,4.890711635992121,4.413974020580962,3.2780540359281622,5.032875203352716,4.871828688750018,4.856868149637537,4.850899320188236,4.866788408317151,3.652797847022123,4.95684156470366,3.830130857842596,3.310136362797362,4.859750778970694,5.026116524230491,4.221033595500819,5.104646384238756,4.812799858997625,4.839813031545547,4.996996607351389,4.846810351554184,4.86986818367524,4.516303467692903,4.14203965737435,5.072362361576779,4.761050983427031,4.801702058156401,4.871388700818187,4.43207853743485,4.9942312271043825,4.931661315470396,4.803346736632856,4.4631564622494615,4.1557181949719135,3.9957521931073847,4.337355456590936,3.3179610462526345,4.828210993770624,4.797762889102969,5.014452155023112,5.051097746640421,4.939048264920212,5.07943196681874,4.820121800785526,4.8534877696127925,4.88137235385328,3.3155962660361142,4.865061000976624,4.817572893589556
A1D87F6ZCVE5NK,3.367847285635849,1.2016974488760508,2.836889389268938,2.32142814397448,3.5176540845192377,3.4193647756202217,3.2118612445183747,3.3769620519506485,2.6812802634446946,2.6969182225550625,3.311680057510516,3.3897176483277973,3.438840354097026,3.4399053397486146,2.833526813001096,3.1868803161039434,3.289830634638724,1.7072564792993197,3.128866817606286,3.0090181102895985,3.498179863349315,3.4390005987976466,1.7949229783633214,1.2510082900962936,2.949811495688349,3.4155351820202924,3.218862367010996,3.309910133043865,2.694455435217842,3.07604063007368,3.5097691846721584,2.1760700881444257,3.4820542079521584,3.5270560405292146,3.6901446204005226,2.858521212111225,3.622371139374665,3.3247437147326635,3.0221348500411045,2.62461813215242,3.4125655443123315,3.5041680091162375,3.099369908089809,1.5515545766548124,3.452395603453179,3.4050416612733856,2.245924915385265,3.421835790521792,1.9437486513614886,2.340686422389751,3.362808631353627,3.253482014111185,3.4114626779744675,2.925168789061247,3.539604410068712,3.3611643542198273,3.4410054863944732,2.972350472393717,3.282330530556413,2.843714525526833,1.7828897938938157,2.639217640905665,3.255098211669201,2.999447131577951,3.624681989181738,1.8281580862919988,3.4422959407767424,2.7080412345305724,2.2961375307627256,3.0360873135992943,3.17739528015757,3.4464683142902928,2.980981726696416,3.5574679871261954,3.2781924131200824,3.3022444059620404,2.5101290565174508,2.0238424545579763,1.9445911707031025,3.243721848577318,1.5942576674643991,3.37870475325777,3.4084461550305463,2.499614132900299,3.9790783464636132,2.9370251813620127,3.27254828160443,2.9631883335342644,3.483352221268034,2.9179235526874767,2.012080027951501,3.7125038728357493,3.5449547234583507,3.33288152283578,3.2193246998258918,3.4769053613631034,1.6283362418850795,3.4384497378402705,2.33595232619971,2.1888927066677057,3.4405019860249157,3.424279148821908,2.5272927810030597,3.6851742179582154,3.5697163060103354,3.3986897268035148,3.673737124699674,3.483454539504292,3.4134604956448253,2.981419482217765,2.8185894955265614,3.673325987141412,3.129087270389886,3.410714480786156,3.320479030982362,2.337114699837522,3.577483250039281,3.2104217408130182,3.569323344052768,2.969451474345147,2.3105143372453627,2.3870399758242242,2.3295171830785444,1.7664354320587141,3.2748061006636116,3.318853846241973,3.544861487355792,3.5528099918955647,3.44106888044731,3.545237916882748,3.2997458826652086,3.412037753573726,3.3071838691806223,1.6486702911794815,3.4133646399013275,3.8025811194609074
ABXLMWJIXXAIN,4.464565184835741,2.827991652563699,4.038226148787793,3.324062560673317,4.526750031007889,4.465745083379444,4.41652380900367,4.414676823488712,3.4758596437065306,4.043072127473151,4.487972218155298,4.371926765693774,4.577930279102628,4.035519635784173,3.9419999551268434,4.300092124666665,4.426694185803298,2.9375837991415388,4.104736944660083,4.106178440964808,4.576026945087491,4.453275153858846,2.9668988338739295,2.5104913991968254,4.130877319505835,4.4982893239987956,4.311017469878833,4.476660121027173,4.284915608096033,4.233758625048602,4.655477601194757,3.2988027758822205,4.6829230523981895,4.5860447463633935,4.805697496776188,4.073253401351731,4.677945246346795,4.169018153046588,4.051002000150232,3.7036674597578303,4.48675841675797,4.5843846067281335,4.034456419589471,2.8146221361937664,4.582855911550096,4.5643281516341805,3.8124016530604874,4.571559889946034,2.9323832139177157,3.3126423215337297,4.603953571140264,4.4329628394930545,4.431380960339937,3.9261233569225134,4.635483302319403,4.49587378581482,4.463858870480553,4.216645699762863,4.177108530810857,3.7900475313070725,3.3662084887794324,3.6435499959191433,4.283320261342767,4.069160101102699,4.649422297716682,3.0519347451528813,4.595233510262105,3.8630055898483473,3.276652480586264,4.197733028323297,4.285433505046752,4.456282730436731,4.000289153671205,4.676988140583322,4.452264339832432,4.414773466846087,3.6391698927416236,3.0534309589882715,2.903954644390767,4.430276539188541,2.6131971247419084,4.475593655503192,4.579119143191797,3.9719281816726433,4.341109646821643,3.995586275828073,4.352180850475076,4.039707950093395,4.480012509742561,3.88556665965262,2.957200605921932,4.641051857139246,4.5688010480159535,4.490599108456924,4.422533506970181,4.508054113827534,3.059706885400946,4.545859773220492,3.4800366932802267,2.997362328207079,4.499165829265481,4.566109615640226,3.7979634434709664,4.720942255888582,4.524304084361591,4.4628914558318735,4.636537524759956,4.453984925183411,4.480238339680646,4.046682309035623,3.918302214133828,4.7447154570602645,4.321940670032624,4.462533285266542,4.4503375654955475,3.7321626379997883,4.597080023617934,4.421138978095047,4.52089079573472,4.060189056999423,3.633208352242146,3.5362546004314352,3.8991815452371275,2.8748287883297383,4.405237088363241,4.445069916956123,4.583478076940558,4.62158859714344,4.505597108259377,4.651109992788262,4.435481609945648,4.441782087346292,4.4162287934423246,2.7995717892914866,4.509623756207786,4.727960594754336
A395BORC6FGVXV,3.6583908595619037,2.2534166873740196,3.275671434327806,2.2085427673027143,3.808209601011208,3.706449250960292,3.680271416447428,3.7310698900210957,2.915857245832667,3.7524041471062874,3.6041348528798487,3.5855754579305192,3.8166512962768393,3.485022269942811,3.2855356462434595,3.4435771654929583,3.6921161122417185,2.1130443779396337,3.621347030694135,3.296116414212981,3.8000646289037503,3.7212987763338,2.099316405758604,2.124051218680319,3.5016381052081944,3.6516881934818377,3.5132154582582897,3.640989346494249,3.62823455321051,3.714824883275854,3.8223756913723426,2.3705111726592656,3.8784958117973645,3.783826115381676,3.964450839229479,2.9669367513679026,3.96082719377813,3.2877546927240733,3.1269312607971727,2.9416650065910743,3.592393229012717,3.735094351280111,3.323583518775525,2.142575191050151,3.7319842930025318,3.8434851191275308,3.1895154816211964,3.736277300266277,1.8302359000154582,2.4632532762688526,3.7533402463644094,3.673382995911525,3.5838343345419985,3.1518417812321973,3.900601024554344,3.6070629568281913,3.7139247727493676,3.4511481927564356,3.015650892616943,2.8813830563602436,2.871116844923629,2.799130755638218,3.669633050767992,3.3248459181596255,3.8787874599109218,2.3180031250133846,3.8609736679295725,3.116775113026542,2.5595445110848174,3.620225195289536,3.6503251294233707,3.6556771460987476,3.339687177688764,3.9416211050566163,3.6255701618902685,3.6812557131577197,2.8873102097099768,2.3284978372761884,2.2721900785876983,3.6301312472068603,1.7027306608716188,3.7069100813855216,3.8428223289852586,3.571449444264898,3.3947488299265633,3.2211429926575748,3.805812407908368,3.24255971540399,3.7087620387770253,3.282729806193342,2.304396910146916,3.7942667001656503,3.6235311425720576,3.698889353052841,3.7456989871395034,3.6973516892496225,2.3373571651838887,3.6800952802626,2.594816294143781,2.0720948947546862,3.7298338982686197,3.8330975526580064,3.146741094559003,3.93765799936091,3.642484259522547,3.724507307730754,3.8010905101855226,3.699792357470036,3.6693442454762697,3.256430240319282,3.1778266128363017,3.8311568968948886,3.4884899293700196,3.7926659972260977,3.6436021112115027,3.4876019536601337,3.879671357788503,3.718463973156793,3.7719014089849305,3.258879931189177,2.7762748916705577,2.6260511310589676,2.7049297452564334,2.154150361258019,3.717168021499778,3.6525324333413267,3.7992106738789007,3.704191723175513,3.5786400914680585,3.8679683688530564,3.626972167522556,3.720777548071122,3.634229583689372,2.366470453972161,3.719384715800402,3.343240657524161
A1UQRSCLF8GW1T,4.806823664093459,3.291526910174363,4.407503614057917,3.5302907935094017,4.9272844738730885,4.784447311495537,4.809295151102836,4.801939245730739,3.8279188488012834,4.7434979475683905,4.802575089563672,4.750795463988878,4.944716321531476,4.666525907145657,4.315025813425201,4.633117725089537,4.903643258911951,3.371169975935711,4.6073830065033325,4.3571734602330245,4.901689178962949,4.83015295087523,3.2450672489854133,3.0325072156304542,4.571086390149464,4.798933226281513,4.652467559597159,4.769170544164636,4.730125841644826,4.707208776198523,5.008421680263295,3.638172343938944,5.02157204513665,4.924734418198221,5.157423389823037,4.230064444748405,5.063854898644586,4.432240904232051,4.405119346568299,4.0569312172598035,4.805157367222027,4.946240765386161,4.421920107552533,3.266120690283399,4.927632247094043,4.948172175183034,4.182013879364572,4.860405023523755,3.1610066240454358,3.6953663246581083,4.938732947030345,4.813945024357495,4.73598385517457,4.2665844551717855,5.004948313631844,4.806672847684148,4.866923099435647,4.592845702918122,4.478672040450447,3.952560693282422,3.9004537514794575,3.9705432626072823,4.834440549709225,4.387007692780521,4.973343260476804,3.3316385846747103,4.946848065931884,4.1589200656887515,3.6805237979767855,4.620339029686404,4.680822659399703,4.812889489571366,4.3787731717580884,5.044261596593773,4.799472317700112,4.8173705484493725,3.9840514150220527,3.4844375485023824,3.3488081897312827,4.759811779628035,2.8353079827122465,4.836057834560646,4.972234714800989,4.386367432203878,4.543344891146706,4.32485879427254,4.788800047858659,4.425798797371713,4.8595803529508315,4.455637515946388,3.357274063166987,4.965879146599325,4.824392121481491,4.787904758454943,4.847279938985467,4.840086700487565,3.469722392493708,4.8736219681519275,3.742070787973624,3.1319856810927806,4.845079079544897,4.970987710225949,4.307177798944699,5.074829485029526,4.825399162158234,4.847749692847604,4.938376836133115,4.870178365415472,4.810015631413905,4.44566231048145,4.12796208294767,4.97722928338585,4.713506200793633,4.851090378242194,4.8189872247788665,4.396809595028963,4.985108279351723,4.818771286972306,4.852493489468225,4.394773426356016,3.9715806369588416,3.897150391642327,3.926621873503023,3.3189762273713446,4.809777174948851,4.747463920164969,4.943382926595819,4.919391981877743,4.833126733774322,4.9804604215714585,4.776762610277593,4.78180197635511,4.794016096981253,3.411081286620269,4.78903643776012,4.799696015924636
ADT0SRK1MGOEU,4.236846155677852,2.7648334133986383,3.79008141084807,3.0786830664298277,4.243716247632742,4.192975563230548,4.216938617708777,4.1554882544387395,3.2725278022974083,4.115955058584175,4.271482116150961,4.1010479038166086,4.378801193055276,3.796656539387893,3.680147637629093,4.128521815089563,4.275860306338101,2.7693064567828243,3.9890231866301673,3.7390902202783916,4.3817544501534105,4.205139105116719,2.7229229508438424,2.300272352215992,3.9396021162770407,4.2474635579257,4.049226179741754,4.230056144094993,4.240175090335046,3.9929032814757064,4.4634587873979905,3.0681798234085322,4.515452045239148,4.3364196280796605,4.551514245821038,3.9626419613817494,4.429899975044016,3.8508638818299703,3.7522783668787207,3.439061674592203,4.228544073971101,4.377191023548217,3.767399732657748,2.5652284768017997,4.3516705341478,4.351253168222521,3.760682736719191,4.333901717344744,2.742244694232062,3.1238619720542964,4.375104522724457,4.186877467409877,4.191868412848505,3.703521630717444,4.415908975336613,4.302283526823491,4.2100320262597215,4.033439984670618,3.998448417170511,3.285155174062315,3.2759997029442687,3.41467060633317,4.09124213636653,3.8405186048144704,4.429778879660058,2.822106872953588,4.380087349921272,3.399303077235388,2.986823791490647,4.016409788429811,4.073145578472458,4.208412674715318,3.7794198881002345,4.422821645985488,4.231644744900141,4.210792049601938,3.376182603573379,2.766946780314325,2.503369926788934,4.232104332795362,2.4813167475019826,4.240175736216919,4.345221757509219,3.8308766909392933,3.7577524126790456,3.7282850771129974,4.223804819665828,3.8302710762784993,4.223070010793938,3.6737723624775325,2.6543956593139777,4.423229121568177,4.335610407144219,4.201965441268478,4.206724482819209,4.216737208417013,2.9723720121944677,4.357129448679795,3.1682237338527406,2.738098396285779,4.237353537593982,4.3558329840738175,3.649106319645276,4.480085236226202,4.188356682300237,4.163237597416578,4.379485341879357,4.21703945219322,4.237600962039053,3.7984703951940855,3.5921512293750553,4.492058648691481,4.073263081697837,4.207901962182192,4.215440124645729,3.6759682987255813,4.354344792950069,4.234727183900124,4.2305473940842875,3.803832259239621,3.5442875598680894,3.2137571997226537,3.644847818475252,2.6827928409645025,4.221412669860559,4.230958915129409,4.357878464808729,4.392073836311265,4.2782765411825325,4.447418628825104,4.232968364391584,4.203781214170171,4.263975618214943,2.5805646504599076,4.269864022965071,4.2643587160839
A1SP2KVKFXXRU1,4.852755139825436,3.41823537407776,4.464427635236866,3.702549902938566,4.899267246054125,4.871677335372861,4.889674660882401,4.803842512252467,3.991796477290723,4.600258554580758,4.897329299547704,4.720790853692904,5.039772790971881,4.207993245945267,4.366148730409608,4.770584150377983,4.897926707348105,3.24319036470182,4.7071188801458845,4.456303626977607,5.002298821028284,4.858141420668024,3.52901376132648,3.0096575108232737,4.617296709443884,4.9033341305811575,4.724616714858139,4.883060391725348,4.763444966205002,4.601993139751735,5.088864813567853,3.7088490829799183,5.1182996542946455,4.997898300600099,5.175884744746507,4.628421140631214,5.084939565739179,4.471662649406199,4.337126886232884,4.137934208749779,4.858741583326319,4.951871275492327,4.422626800030925,3.2036920909456335,4.97810207159664,5.02156796537237,4.3868141068268525,4.975615782125166,3.442143831188065,3.7029793128460335,5.011047007632433,4.839586053099115,4.8222305540964605,4.275265966547198,5.096822772941458,4.909302106465833,4.8540996288521905,4.587282638024298,4.646809416544851,3.98946619254915,3.9130852288176277,4.017440497316815,4.68062534001246,4.472037187712727,5.139871843200054,3.4495729858354345,4.994257239102539,4.109804044037754,3.5739581965617813,4.649127955179395,4.743190711939395,4.8021391279815875,4.410496269318442,5.086610419629196,4.904247714912832,4.902138974361367,4.022342941992444,3.2248368818666626,3.2756598907460437,4.780651522271784,3.097774400866682,4.8639409206826425,5.0163497838160325,4.304410831920409,4.355537270825233,4.392398966387585,4.699764043078171,4.477980762521276,4.866777376619861,3.998684948836405,3.34501470379974,5.000863945367548,5.0390072976628435,4.870160354891957,4.841045971754656,4.885733315778612,3.6149594440217703,5.048441401328919,3.9653021241516675,3.366048701699941,4.8700077774313,4.981104984063085,4.2998492167260265,5.079135951277285,4.877611086530118,4.740945150532672,5.068889266252787,4.864650498651428,4.845940311383461,4.38170905575207,4.427516217475957,5.161245479926118,4.724457111411702,4.874615209215561,4.825467313275428,4.427914329188605,5.003112287851466,4.805543291462032,4.936850294876126,4.44301341824777,4.137482143854575,3.6901979563725313,4.431242365295616,3.379830038842468,4.871730261398631,4.838856520919859,4.980611385177969,5.026411708609212,4.889079415730934,5.084034620005979,4.842598817448815,4.830277913447349,4.882780716268221,3.1674769967563523,4.960197632020757,4.84559743382906
A3JRGQVEQN31IQ,4.812733392689475,3.2537367475515935,4.395025171853362,3.6661149666967288,4.91635919443481,4.846268009879063,4.834401131628602,4.776235767405049,3.8407728339264917,4.648601541870245,4.851253616352435,4.804338012440782,4.949919313393658,4.520917464722916,4.3094252225348235,4.697962990692149,4.7861803361809825,3.2902430164879197,4.630416515856672,4.4999721055487605,4.936022549517147,4.846195028399288,3.322104606844215,3.044694826856389,4.581427329311292,4.812584954234055,4.657224919309169,4.8168286827849585,4.777968334499989,4.648363198210593,5.036932616376908,3.6439579238434328,5.05626359685284,4.950572784934195,5.174656524454653,4.27559156646451,5.026507682070235,4.566508277353179,4.360366686553438,4.091467901891846,4.8264571272551775,4.947936572530746,4.4678630533448915,3.2325930580874833,4.989176724374463,4.965148955791897,4.182688534648615,4.886459893325648,3.3092534937417604,3.702491790562172,4.961223463929567,4.821535731717481,4.776457081448632,4.327688964121411,5.027819553826604,4.82807672043926,4.876476442416115,4.5587575357489785,4.68587613193197,4.0228023686103835,3.8696033242253076,3.9710956080220723,4.768168285032139,4.457325347640523,4.999699394318669,3.427294950238818,4.946171275739232,4.260049999841873,3.6593885592116777,4.60101627436404,4.676264485052453,4.800490577371474,4.471018610077383,5.057479572618268,4.839396397653419,4.8236180722797215,4.000665172336728,3.4493465231347833,3.311513536964029,4.807072541391777,2.882415842962992,4.849322076882127,4.980978250132091,4.373841141043106,4.54192328540034,4.448723819409191,4.877442122246042,4.439247394624595,4.87744854958538,4.303758853107328,3.4297883000437244,5.013420977356319,4.929419824924274,4.859559633995322,4.873998327063659,4.886288714292386,3.421550180315202,4.906880477230089,3.8158212411747177,3.2388071525403137,4.885332647357714,4.993472612632934,4.343339272125585,5.121610757409083,4.892704963797451,4.850586716491319,4.972768367268273,4.840608072118579,4.847280815800623,4.401132542348847,4.346484315556054,5.073477316248228,4.7532900540027265,4.892481197406459,4.867747334199886,4.098297079052157,5.00116590155404,4.7918594213965475,4.918593541338451,4.425648303366922,4.014530731143582,3.90283168152351,4.187844424600882,3.218027816952642,4.851968284431379,4.8500422607670215,4.981352449774705,4.9526186237943195,4.894854845381661,5.044994675758269,4.849170436326276,4.754243879424032,4.794872325634535,3.2823844933628914,4.8320485699704605,4.993891781461966
A1MZYO9TZK0BBI,4.873485122418746,3.3802906129830195,4.492930523189601,3.6575987559420935,4.919515829527133,4.921349856575468,4.850061717185276,4.86274484861281,3.9621372123719136,4.660765837473095,4.855103293781665,4.727846200279025,5.014496650086379,4.373948530534715,4.38749556524307,4.677336061616704,4.8730580067675175,3.385994652666428,4.633851554040422,4.475313029015904,5.053738366903645,4.883359849587961,3.3889594179170466,3.011669459688266,4.600969763780959,4.927725110162903,4.702815620187821,4.97050895977096,4.761133412776623,4.694302883014938,5.082173854566829,3.7163405565358985,5.149203360656676,5.029210307367613,5.179819923649773,4.641824457863708,5.133781855905253,4.46661782222272,4.342698629682214,4.056606517545592,4.868725425237399,4.996600103462524,4.43605360181933,3.243495248172985,4.9522837432061015,5.007967985947272,4.48335179080803,5.057828572806666,3.277715134275578,3.622685137038638,5.030916818901561,4.854656279677171,4.870465686071741,4.352136172681164,5.088969746757965,4.904964078343141,4.8541454823150785,4.701204906408535,4.348075264248577,4.030873134191146,3.9073795175070143,4.0610605724688815,4.782699756944491,4.526227725113323,5.095305155208168,3.535303625076088,5.070543844650799,4.186144586630945,3.7597298554528567,4.744839471355137,4.783531361222636,4.896034403532241,4.501366054768008,5.075231515740381,4.887615409911329,4.8500037085893295,4.103257823406619,3.3282752704402045,3.288866125060339,4.880007737763623,3.094951050910801,4.89386155635753,4.990859591216346,4.497474470259983,4.701511077921641,4.2802030146935515,4.775702957630286,4.414908514900845,4.866780920275539,4.294788135315966,3.374434402911142,5.057170556701777,4.972823034015481,4.88844931737437,4.853387603724442,4.885719918209121,3.6257367185572447,5.017005583524507,3.8829916274510103,3.5288725652984354,4.907078107358243,4.994188556114928,4.269079305384599,5.115781023238411,4.86544259690634,4.894373566428619,5.0454104171751295,4.893485348492353,4.897629116254591,4.454915412089077,4.3222671456432105,5.175497534642091,4.700996838270807,4.85992722712042,4.844656527761961,4.444947972863239,5.029629313665055,4.9084024813803095,4.926261962773429,4.44478954852554,4.088731913530894,3.7565975231088853,4.2370899573322625,3.3859182011649307,4.8448180312722275,4.869028241831281,5.0071236091336075,4.998930202401499,4.80895086378484,5.062419646521137,4.811912986896625,4.872906924048288,4.844077055753742,3.2588640872081096,4.968943370990713,4.730610503300775
A21BT40VZCCYT4,4.80712267838582,3.365915526200507,4.426827765888987,3.7078088168963474,4.896842308541231,4.880256666881872,4.927870798882534,4.790413584017645,3.8916627754263566,4.914094987689237,4.876841687553242,4.791316518681683,4.98597637957121,4.544599493666434,4.297959936982365,4.76823536811309,4.890476654858168,3.3493257824154243,4.701731205068971,4.434811969777002,5.012985839416893,4.8571740796631016,3.409007738129024,3.0848126004423215,4.606803249016401,4.837430656902648,4.679058443835043,4.898721003157269,5.000408549047531,4.608033300349776,5.103057257212342,3.7152762668970962,5.156788501693925,4.991931362787776,5.1824048603468995,4.426970088374545,5.005322786967184,4.561886846514677,4.398786993705794,4.038925498683873,4.828868591256248,5.030352218804843,4.457102799303527,3.2834694776296534,5.000599708357405,5.015161297015638,4.363393043297181,4.943701874057601,3.3779614485681115,3.7558794806124194,5.006178552657468,4.875057008888746,4.831459948681253,4.350136292516784,5.05002973573155,4.895352417694548,4.9071086350960025,4.665402625791705,4.763918882044563,3.767130420471061,3.920158468796844,3.9896544460428305,4.8304992963296565,4.488349597436335,5.030696992711522,3.4023548950544384,4.946315011640741,4.080026815391952,3.7288191595421307,4.629579960612431,4.708793000875043,4.808679635255186,4.616567919160482,5.054986809072298,4.930586544644548,4.900801557656846,4.028458574966718,3.4022107989112214,3.2461182409802225,4.835118123530363,2.9507960482735416,4.864890118711167,4.996153634644515,4.257138669965153,4.375192083506287,4.436833584675485,5.031399179107077,4.475387213654863,4.880533282413014,4.3659700261103715,3.439900632866225,5.0467695130281935,4.993492834832698,4.845701646047115,4.914107203648812,4.875759849614616,3.5206782447562537,4.987842091650262,3.8139840947602974,3.28918850763307,4.9186826885013,5.010049863303954,4.5091330719947065,5.144748943411388,4.901407370836112,4.886146787710243,4.98894214474188,4.918993419213133,4.872702928021905,4.425912340590894,4.321689569970162,5.121284772210287,4.793773374544348,4.914520210665088,4.894029475089991,4.189307871267423,5.026480782732626,4.820668383273372,4.945806313062189,4.418447205291383,4.107702763519174,3.8201460270226772,4.079021505000242,3.318606303225788,4.907955965199502,4.901293021884647,4.986260811120599,4.9690919635862,4.915083334182245,5.050905149894226,4.889709645118757,4.743705296056587,4.863632698106367,3.2850177179779543,4.855277796089888,5.020539174456381
