,B001E4KFG0,B00813GRG4,B000LQOCH0,B000UA0QIQ,B006K2ZZ7K,B000E7L2R4,B00171APVA,B0001PB9FE,B0009XLVG0,B001GVISJM,B00144C10S,B0001PB9FY,B003F6UO7K,B001EO5QW8,B000G6RPMY,B002GWHC0G,B004N5KULM,B001EO5TPM,B005DUM9UQ,B000E7VI7S,B001GVISJC,B006SQBRMA,B0059WXJKM,B001EPPI84,B004X2KR36,B005R8JE8O,B0066DMI6Y,B003ZFRKGO,B0019CW0HE,B004K2IHUO,B001REEG6C,B000J0HIT2,B0037LW78C,B0026Y3YBK,B003SE19UK,B003OB0IB8,B002SRYRE8,B001GVISJW,B0017I8UME,B0064KU9HO,B0037ZFEW4,B00374XSVY,B005P0HHGK,B002HQAXUW,B000SV90J8,B0036VM05I,B000ITVLE2,B003TQQKFQ,B007B9J6G2,B0064KO0BU,B001IUKD76,B0081XN2HQ,B0025VRCJY,B005CJVVJ8,B001KUUNP6,B000NY8ODS,B00029XIZI,B004V6AH34,B0028C44Z0,B0009XLVGA,B002TDK0VK,B0040WAG7Q,B001EO5ZMO,B001SATU8E,B007JFV6RK,B001L4ELRW,B003SO503C,B003ZFXJDW,B001HTL6CY,B000WFRMRW,B001EO5ZME,B0093NIWVO,B001EO5ZMY,B007TFONH0,B000GGKQSO,B007J32WX4,B0017129DC,B0002567IW,B0048IC328,B0025WIAN0,B00821UN4M,B00473RWXY,B002MV23XM,B000LKZK7C,B001D07IPG,B000H13270,B001UJEN6C,B003EMU7EU,B0064KOUNI,B003YDP5PA,B002X9JNYU,B001EPQ0J0,B000O9Y62A,B00283TPYE,B001FB69YY,B004OYBN7C,B000JEHAHS,B003VTN95K,B007DJ0O9I,B00469VSJI,B002SRAU80,B0067LDV66,B000HKYP9A,B00067AD4U,B0029OWDAU,B000SEJ84M,B001LMNXFA,B002J2DO8W,B000U9V5AU,B001SB099M,B0041QJSJS,B00437JI8Q,B002O3VHXU,B0057FTBYO,B0087HW5E2,B003YXWAF8,B000UXA3L8,B004AVYUOW,B001ESOQAM,B001ESOQA2,B003XT4AV0,B001FA1MCO,B001ELL6O8,B006CGURWM,B00250I0EG,B000C21OOM,B003D4O92K,B001IZM8A6,B0089PI9OC,B00061KYVI,B003XV5LHK,B005WU7V00,B005CFC9XY,B000SEJ842,B004X8TK8I,B000G6RYNE
A3SGXH7AUHU8GW,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1D87F6ZCVE5NK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABXLMWJIXXAIN,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A395BORC6FGVXV,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1UQRSCLF8GW1T,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADT0SRK1MGOEU,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1SP2KVKFXXRU1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3JRGQVEQN31IQ,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1MZYO9TZK0BBI,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A21BT40VZCCYT4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
